persona,story,id,cq,issues
Brendan,1_FindTraditionalMusic,CQ1,"If using a known tune as a query, search for similar tunes from other corpora based on
-	Geographic location of collection.
-	Melodic similarity between query and results.
-	Rhythmic similarity between query and results.","['incomplete', 'complex', 'hard']"
Brendan,1_FindTraditionalMusic,CQ2,Can the notation of query and results be viewed simultaneously for comparison?,pass
Brendan,1_FindTraditionalMusic,CQ3,"What collection/archive are results taken from?
-	Can a user filter between collections?",['to-split']
Brendan,1_FindTraditionalMusic,CQ4,"What is the provenance of any given result from this search? 
-	Can information on the collection/archive which the result belongs to be accessed from this search?
-	Can links be established and recorded between similar tunes?","['to-split', 'complex', 'hard']"
Laurent,1_MusicArchives,CQ1,"Can I search for a musical content by applying filters (genre, historical period ...)?",pass
Laurent,1_MusicArchives,CQ2,What types of resources can I find?,pass
Laurent,1_MusicArchives,CQ3,Is the music resource X complete or incomplete?,pass
Laurent,1_MusicArchives,CQ4,Is a dataset attached to resource X?,pass
Laurent,1_MusicArchives,CQ5,Can I add resources as a user?,pass
Laurent,1_MusicArchives,CQ6,How can I share what I find on the site?,pass
Andrea,1_Serendipity,CQ1,Can I find interesting materials without applying filters?,pass
Andrea,1_Serendipity,CQ2,What types of resources can I find?,pass
Andrea,1_Serendipity,CQ3,Is there a way of visualizing all the materials connected to my interests?,pass
Andrea,1_Serendipity,CQ4,Can I keep getting suggestions in real time?,pass
Andrea,1_Serendipity,CQ5,How can I share what I find on the site?,pass
Andrea,1_Serendipity,CQ6,How I personalize my navigation experience without knowing the filtering criteria or the materials' characteristics?,pass
Paul,1_OrganComparison,CQ1,"Search organs with the possibility to combine search criteria, based on
- Location
    - City
    - Building/church name
- Organ builder
- Technical features, including, but not limited to:
    - Stops, and amount of stops
    - Number of keyboards
    - Range (klavieromvang)
    - Type of wind supply system
    - Pitch
    - Temperament
- Year of constructions
- Other people related to the organ (sculptor/carver, funder/donor)","['incomplete', 'complex', 'hard']"
Paul,1_OrganComparison,CQ2,"What are the technical features such as pitch, windpressure, and bellow type?",pass
Paul,1_OrganComparison,CQ3,What materials is the casing made of?,pass
Paul,1_OrganComparison,CQ4,What are the dispositions of all the organs made by XX organ builder?,pass
Paul,1_OrganComparison,CQ5,When have changes been made to the organ? What were these changes? Who made these changes?,['to-split']
Paul,2_ResourceReliability,CQ6,Is XX fact reliable? What are the sources of XX fact?,['to-split']
Anna,1_HearingMusic,CQ1,What is the rhythm of the bassline?,pass
Anna,1_HearingMusic,CQ2,What is the rhythm of the electronic drum kit?,pass
Carolina,1_SourcesCrossAnalysis,CQ1,Where was the musical composition X performed? *(musical performance)*,pass
Carolina,1_SourcesCrossAnalysis,CQ2,In which buildings was musical composition X performed? *(musical performance)*,pass
Carolina,1_SourcesCrossAnalysis,CQ3,Where was the musical composition X performed for the first time? *(musical performance)*,pass
Carolina,1_SourcesCrossAnalysis,CQ4,In which buildings was musical composition X performed for the first time? *(musical performance)*,pass
Carolina,1_SourcesCrossAnalysis,CQ5,"Which performers (musicians, singers) have performed musical composition X? *(musical performance)*",pass
Carolina,1_SourcesCrossAnalysis,CQ6,"Which performers (musicians, singers) have performed musical composition X for the first time? *(musical performance)*",pass
Carolina,1_SourcesCrossAnalysis,CQ7,In which scores is there evidence of musical composition X? *(evidence)*,pass
Carolina,1_SourcesCrossAnalysis,CQ8,In which historical documents is there evidence of musical composition X? *(evidence)*,pass
Carolina,1_SourcesCrossAnalysis,CQ9,In which bibliographic references is there evidence of musical composition X? *(evidence)*,pass
Carolina,1_SourcesCrossAnalysis,CQ10,In which historical documents is there evidence of reception of musical composition X? *(evidence)*,pass
Carolina,1_SourcesCrossAnalysis,CQ11,In which bibliographic references is there evidence of reception of musical composition X? *(evidence)*,pass
Carolina,1_SourcesCrossAnalysis,CQ12,Which is the medium of performance of musical composition X? *(musical composition)*,pass
Carolina,1_SourcesCrossAnalysis,CQ13,Which was the first medium of performance of musical composition X? *(musical composition)*,pass
Carolina,1_SourcesCrossAnalysis,CQ14,Which instruments are involved in musical composition X? *(musical composition)*,pass
Carolina,1_SourcesCrossAnalysis,CQ15,Which voices are involved in musical composition X? *(musical composition)*,pass
Carolina,1_SourcesCrossAnalysis,CQ16,In which tonality was written the musical composition X for the first time? *(musical composition)*,pass
Carolina,1_SourcesCrossAnalysis,CQ17,Which is/are the composer(s) of the musical composition X? *(musical composition)*,pass
Carolina,1_SourcesCrossAnalysis,CQ18,Who has spoken about the musical composition X? *(reception of musical composition)*,pass
Carolina,1_SourcesCrossAnalysis,CQ19,Who has spoken about the musical performance X? *(reception of musical performance)*,pass
Carolina,1_SourcesCrossAnalysis,CQ20,How was the musical composition X received? *(reception of musical composition)*,pass
Carolina,1_SourcesCrossAnalysis,CQ21,How was the performance of musical composition X received? *(reception of musical performance)*,pass
Carolina,1_SourcesCrossAnalysis,CQ22,When was a musical composition performed? *(musical performance)*,pass
Keith,1_MusicConnections,CQ1,Can we find relations between different artists and music?,pass
Keith,1_MusicConnections,CQ2,Can we find music which has a non-obvious relation to some other music?,pass
Keith,1_MusicConnections,CQ3,"Can we visualize the relations between different media, different music etc?",pass
Jorge,1_OrganizeMyLibrary,CQ1,"provide a digital space to represent and describe the concept of ""Opus"", and store digital scores related to an opus.",['incomplete']
Jorge,1_OrganizeMyLibrary,CQ2,"organize collections and subcollections, based on clear concepts (e.g., genre, composer, period...) to gather Opuses",['incomplete']
Jorge,1_OrganizeMyLibrary,CQ3,"provide nagivation, search and visualization tools in collections / opus",['incomplete']
Jorge,1_OrganizeMyLibrary,CQ4,"in addition to standard metadata (e.g., composer), expose *features* extracted from  digital scores  (e.g., tonality, when relevant, number of parts, etc.)","['incomplete', 'hard']"
Jorge,1_OrganizeMyLibrary,CQ5,"Identify the dimensions and/or features that are relevant to support an on-the-fly reorganization of the digital library, whenever the standard organization does not meet the user's expectations","['incomplete', 'hard']"
Jorge,1_OrganizeMyLibrary,CQ6,"propose efficient and expressive search tools, that support a progressive exploration of relevant content from an initial need","['incomplete', 'hard']"
Jorge,3_DynamicExploration,CQ1,What are the most relevant dimensions to classify on the fly a result set ?,pass
Jorge,3_DynamicExploration,CQ2,What features can be extracted on the fly from a score content to partition in a meaning ful way a score collection?,pass
Jorge,4_LinkToSources,CQ1,"describe sources related to a music Opus, and link such sources with an Opus in the digital library",['incomplete']
Jorge,4_LinkToSources,CQ2,"propose means to refer to *fragments* of a Opus, eg., the first 10 measures, or part B of a movement",['incomplete']
Jorge,4_LinkToSources,CQ3,"define links at a level of granularity finer than the document itself. For instance associate a fragment in an Opus with the corresponding region in a scan of an external score/source (e.g., a PDF in Gallica).","['incomplete', 'hard']"
Jorge,2_FindSimilarScores,CQ1,"define similarity criterias based on metadata and features of musical works (e.g.,  period,  style, compatible instruments, difficuly...)","['incomplete', 'hard']"
Jorge,2_FindSimilarScores,CQ2,"determine the most relevant criterias, or combination of criterias,  to expand an initial search",['incomplete']
William,1_EuropeanFolkMusic,CQ1,In which collections/datasets does song X occur?,pass
William,1_EuropeanFolkMusic,CQ2,In which countries does song X occur?,pass
William,1_EuropeanFolkMusic,CQ3,Which compositions match with William's thematic focus for the exhibition?,pass
William,1_EuropeanFolkMusic,CQ4,Which composers and performers are related to these compositions?',pass
William,1_EuropeanFolkMusic,CQ5,In which historical documents is composer X mentioned?,pass
William,1_EuropeanFolkMusic,CQ6,Under which titles is this song known? (multi-language),pass
William,1_EuropeanFolkMusic,CQ7,"Providing a visualisation of relations between the relevant countries, compositions, composers and performers in the various collections and their changes over time","['incomplete', 'hard']"
William,1_EuropeanFolkMusic,CQ8,Provide overviews of the occurrences of search results across certain time periods or genres.,['incomplete']
William,1_EuropeanFolkMusic,CQ9,What is the relevant metadata for music collections and what do the different fields mean?,pass
William,1_EuropeanFolkMusic,CQ10,"Inspect the degree to which metadata fields have been filled across the collections, see trends and gaps?",pass
Ortenz,1_MusicAndChildhood,CQ1,"CQ1. What is the difference between the ‘official’ perception of the role of music and how music is experienced?

 * What are the aspects that characterize an official source? E.g. context of production, creator’s role, relation between the source and political or national events
 * What are the official sources? What are the sources produced by ordinary people?
 * What are the aspects that characterize the source at hand as trustworthy? E.g. context of production, creator’s occupation
 * What are the goals of the source?
 * What is the emotional response of music listeners/authors in both types of sources?","['to-split', 'complex', 'hard']"
Ortenz,1_MusicAndChildhood,CQ2,"CQ2. How is music used to teach children about identity and heritage?

 * In which source there is evidence of children as target audience and music as subject?  
 * What are the subjects of the source?  
 * What are the subjects that are related to national identity?
 * What are the subjects that are related to national heritage?
 * When was the source produced?
 * Where was the source produced?
 * Who produced the source?
 * What type of source is it? E.g. Literary text, painting
 * What is the context of production of the source? E.g. academic, official source, personal or primary source, commission to an artist
 * Are there related events connected to the production of the source? E.g. national fests, war period, political or historical events
 * What is context of usage of the source? E.g. propaganda, personal account, review of an event, teaching
 * How subjects/goals/contexts of usage change over time?","['to-split', 'complex', 'hard']"
Ortenz,1_MusicAndChildhood,CQ3,CQ3. What is the adult perception of the role of music in children’s education?,pass
Ortenz,2_MusicalSocialNetwork,CQ1,"What places did muciain Z visited in her career?

* Where did she perform?
* Where did she live?","['to-split', 'complex']"
Ortenz,2_MusicalSocialNetwork,CQ2,"Did musician X and performer Y ever met? Where, when, and why?",['to-split']
Ortenz,2_MusicalSocialNetwork,CQ3,"In what context the meeting happend? 

* What is the nature of the event? 
* Was it a celebration, a festival, a private event?
* Was it a religious or a secolar event?
* Who paid to support the event?","['to-split', 'complex', 'hard']"
Ortenz,2_MusicalSocialNetwork,CQ4,"What is the provenance of the event attendees? What and how they happened to be there?

* Did they travel to reach the place?
* Where they invited? Was the meeting accidental?","['to-split', 'complex', 'hard']"
Ortenz,2_MusicalSocialNetwork,CQ5,How can we characterize the relation among the participants?,pass
Mark,1_FolkMusic,CQ1,"Can we identify a tune (e.g. from an oral tradition) in our collection with music in another documented collection, e.g. RISM, NEUMA, ABC","['incomplete', 'hard']"
Mark,1_FolkMusic,CQ2,Can we trace the origin of a melody (composer)?,pass
Mark,1_FolkMusic,CQ2,"Can we compare music from different collections, e.g. from different countries to show connections/influences between musical styles?",['hard']
Mark,1_FolkMusic,CQ3,"Can we compare music longitudinally, e.g. to see evolution of tonality and transition from modal to tonal?  Working either at manuscript of collection level.",['hard']
Mark,1_FolkMusic,CQ4,"Can we visualize changes in musical style over time, e.g. transition from modal to tonal (evolution curves - see Weiss et al. 2018 ‘Investigating style evolution of Western classical music: A computational approach’) - with zooming","['incomplete', 'hard']"
Mark,1_FolkMusic,CQ5,"Can we visualize interconnections, e.g. of tunes which share melodic patterns or geographical origin?",pass
Mark,1_FolkMusic,CQ6,Can we link repertoires by scribes?,pass
Mark,1_FolkMusic,CQ7,Do 'national' repertoires have specific characteristics in terms of frequent patterns?,pass
Mark,1_FolkMusic,CQ8,How does translation (of lyrics) affect variation in the melody?,pass
Mark,1_FolkMusic,CQ9,Which aspects of melody vary and which remain stable in the process of transmission and adaptation?,pass
Mark,1_FolkMusic,CQ10,"How did certain repertoires (e.g., Italian opera) circulate?",pass
Mark,1_FolkMusic,CQ11,What are the connections between printed sources and manuscripts? (manuscripts could be copies of printed sources),pass
Mark,2_DutchOrgans,CQ1,"Can we see interconnections between organs, e.g. same builder",['incomplete']
Mark,2_DutchOrgans,CQ2,"Can we identify organs through a characteristic, e.g. oldest organ in the Netherlands with a keyboard to G3?",pass
Mark,2_DutchOrgans,CQ3,Can we ask technical questions about the construction of the organ and which materials were made?,pass
Mark,2_DutchOrgans,CQ4,"Can we observe and understand trends in organs over time, e.g. how one tradition (German) influences or replaces another (Dutch) and why?",['hard']
Mark,2_DutchOrgans,CQ5,"Can we visualize change of a network over time, e.g. with a slider, and do this in a way such as to see the change without having to remember previous states?",['hard']
Sophia,1_MusiciansAndTheirEnvironment,CQ1,"CQ1. What was the composer’s network (patrons, institutions …)?

 * What is the “intellectual framework” of a musician? which explains why certain music was played and how it was played
 * What is the time relationship between different musicians, e.g. who was working at the same time?
 * What relationships exist between institutions, e.g. employment of the same musicians; and between people and institutions, e.g. between a number of composers and a printer?","['to-split', 'complex', 'hard']"
Sophia,1_MusiciansAndTheirEnvironment,CQ2,"CQ2. What relationships exist between different sources of information, e.g. payslips and accounts?",pass
Sophia,2_OriginsAndForm,CQ1,"CQ1. What parallels are there between the composition of music and the use of language, e.g. in the use of rhetorical delivery?

  * What rhetorical strategies are used in a piece of music?","['to-split', 'complex', 'hard']"
Sophia,2_OriginsAndForm,CQ2,"CQ2. Why was a piece of music written to be evocative of something, e.g. the call of a cuckoo?

 * What does music evoke?","['to-split', 'complex', 'hard']"
Sophia,2_OriginsAndForm,CQ3,CQ3. What different motifs exist in a piece of music?,pass
Sophia,2_OriginsAndForm,CQ4,"CQ4. What relationships exist in a multi-line piece of music, i.e. over time and between the lines?",pass
Sophia,2_OriginsAndForm,CQ5,"CQ5. In early written music, what is left of the preceding unwritten tradition?

 * What are the sources the musician used?
 * What sources, musicians, traditions influenced the musician?","['to-split', 'complex', 'hard']"
Sophia,2_OriginsAndForm,CQ6,"CQ6. How does the corpus of a composer compare with that of other composers, particularly those writing at the same time?

 * What are the similarities? motifs, harmony, texts","['to-split', 'complex', 'hard']"
Sophia,2_OriginsAndForm,CQ7,"CQ7. Can we use a statistical comparison, or a particular ‘thumbprint’ in the music, to identify the composer of a piece of music?",['hard']
Sophia,2_OriginsAndForm,CQ8,"CQ8. When a musical structure, e.g. a motif, is found in two composers, is one copied from the other, or do they come out of a previous tradition?",['hard']
